Position	Frequency	n-emoji
1	73.6389840648284	:unamused_face:
2	30.429107521618537	:flushed_face:
3	28.66155435905803	:expressionless_face:
4	23.372491434165443	:pistol:
5	21.700114211127413	:face_with_tears_of_joy:
6	20.73475825311362	:see-no-evil_monkey:
7	19.40229509979877	:face_with_medical_mask:
8	14.561918746940774	:loudly_crying_face:
9	12.345679012345679	:tired_face:
10	10.156632403328441	:weary_face:
11	10.156632403328441	:smiling_face_with_heart-eyes:
12	10.143035840539511	:thumbs_down:
13	9.70794583129385	:smiling_face_with_smiling_eyes:
14	9.25925925925926	:grinning_face:
15	9.25925925925926	:face_with_steam_from_nose:
16	9.25925925925926	:weary_cat_face:
17	7.07021265024202	:thumbs_up:
18	7.056616087453092	:crying_face:
19	7.056616087453092	:woman_dancing:
20	6.172839506172839	:neutral_face:
21	6.172839506172839	:pile_of_poo:
22	6.172839506172839	:books:
23	6.172839506172839	:people_with_bunny_ears:
24	6.172839506172839	:clinking_beer_mugs:
25	5.737749496927177	:face_screaming_in_fear:
26	5.737749496927177	:grinning_face_with_big_eyes:
27	4.853972915646925	:skull:
28	3.970196334366672	:hot_beverage:
29	3.970196334366672	:disappointed_face:
30	3.53510632512101	:speak-no-evil_monkey:
31	3.0864197530864197	:palm_tree:
32	3.0864197530864197	:dashing_away:
33	3.0864197530864197	:frowning_face:
34	3.0864197530864197	:violin:
35	3.0864197530864197	:face_with_tongue:
36	3.0864197530864197	:person_wearing_turban:
37	3.0864197530864197	:broken_heart:
38	3.0864197530864197	:pizza:
39	3.0864197530864197	:eggplant:
40	3.0864197530864197	:laptop_computer:
41	3.0864197530864197	:floppy_disk:
42	3.0864197530864197	:angry_face:
43	3.0864197530864197	:mouse:
44	3.0864197530864197	:person_gesturing_OK:
45	3.0864197530864197	:cocktail_glass:
46	3.0864197530864197	:open_book:
47	3.0864197530864197	:sparkling_heart:
48	3.0864197530864197	:worried_face:
49	3.0864197530864197	:sleepy_face:
50	3.0864197530864197	:hatching_chick:
51	3.0864197530864197	:person_running:
52	3.0864197530864197	:open_hands:
53	3.0864197530864197	:beating_heart:
54	3.0864197530864197	:french_fries:
55	3.0864197530864197	:raised_hand:
56	3.0864197530864197	:fire_engine:
57	3.0864197530864197	:ambulance:
58	2.6513297438407575	:victory_hand:
59	2.6513297438407575	:person_tipping_hand:
60	2.6513297438407575	:confused_face:
61	2.6513297438407575	:confounded_face:
62	0.8973731440691814	:smiling_face:
63	0.8837765812802525	:sun:
64	0.8837765812802525	:droplet:
65	0.8837765812802525	:kitchen_knife:
66	0.8837765812802525	:anxious_face_with_sweat:
67	0.8837765812802525	:frog_face:
68	0.8837765812802525	:smiling_face_with_halo:
69	0.8837765812802525	:astonished_face:
70	0.8837765812802525	:nail_polish:
71	0.4486865720345907	:grinning_face_with_smiling_eyes:
72	0.4486865720345907	:persevering_face:
73	-0.8701800184913253	:winking_face_with_tongue:
74	-1.3188665905259147	:grimacing_face:
75	-1.3188665905259147	:hundred_points:
76	-1.3188665905259147	:sweat_droplets:
77	-1.3188665905259147	:zzz:
78	-1.3188665905259147	:face_savoring_food:
79	-1.3188665905259147	:green_heart:
80	-3.5215097623320823	:person_gesturing_NO:
81	-3.5215097623320823	:umbrella_with_rain_drops:
82	-3.5215097623320823	:folded_hands:
83	-3.5215097623320823	:kiss_mark:
84	-3.5215097623320823	:winking_face:
85	-3.9565997715777446	:sleeping_face:
86	-4.840376352857997	:grinning_face_with_sweat:
87	-4.840376352857997	:party_popper:
88	-5.7241529341382495	:fire:
89	-5.7241529341382495	:musical_notes:
90	-6.159242943383912	:smirking_face:
91	-7.043019524664165	:smiling_face_with_sunglasses:
92	-7.926796105944417	:clapping_hands:
93	-9.245662696470333	:pensive_face:
94	-10.129439277750585	:raising_hands:
95	-11.448305868276499	:Santa_Claus:
96	-12.332082449556752	:grinning_squinting_face:
97	-12.332082449556752	:Christmas_tree:
98	-12.332082449556752	:two_hearts:
99	-13.650949040082669	:oncoming_fist:
100	-14.969815630608583	:red_heart:
101	-14.969815630608583	:OK_hand:
102	-18.491325392940666	:pouting_face:
103	-21.577745146027084	:beaming_face_with_smiling_eyes:
104	-29.069451242725837	:face_blowing_a_kiss:
