Position	Relative Frequency	emoji
1	129.62962962962962	:face_with_tears_of_joy:
2	80.24691358024691	:unamused_face:
3	37.03703703703704	:flushed_face:
4	33.95061728395062	:see-no-evil_monkey:
5	30.864197530864196	:expressionless_face:
6	27.77777777777778	:weary_face:
7	27.77777777777778	:pistol:
8	27.77777777777778	:loudly_crying_face:
9	27.77777777777778	:smiling_face_with_heart-eyes:
10	24.691358024691358	:thumbs_up:
11	21.604938271604937	:face_with_medical_mask:
12	18.51851851851852	:smiling_face_with_smiling_eyes:
13	18.51851851851852	:smiling_face:
14	12.345679012345679	:face_screaming_in_fear:
15	12.345679012345679	:thumbs_down:
16	12.345679012345679	:grinning_face_with_big_eyes:
17	12.345679012345679	:tired_face:
18	12.345679012345679	:pouting_face:
19	12.345679012345679	:winking_face_with_tongue:
20	12.345679012345679	:speak-no-evil_monkey:
21	9.25925925925926	:grinning_face:
22	9.25925925925926	:victory_hand:
23	9.25925925925926	:smirking_face:
24	9.25925925925926	:sleeping_face:
25	9.25925925925926	:grinning_face_with_smiling_eyes:
26	9.25925925925926	:red_heart:
27	9.25925925925926	:person_tipping_hand:
28	9.25925925925926	:beaming_face_with_smiling_eyes:
29	9.25925925925926	:confused_face:
30	9.25925925925926	:persevering_face:
31	9.25925925925926	:confounded_face:
32	9.25925925925926	:face_with_steam_from_nose:
33	9.25925925925926	:weary_cat_face:
34	9.25925925925926	:OK_hand:
35	9.25925925925926	:skull:
36	9.25925925925926	:crying_face:
37	9.25925925925926	:woman_dancing:
38	6.172839506172839	:neutral_face:
39	6.172839506172839	:pile_of_poo:
40	6.172839506172839	:face_blowing_a_kiss:
41	6.172839506172839	:hot_beverage:
42	6.172839506172839	:grinning_face_with_sweat:
43	6.172839506172839	:oncoming_fist:
44	6.172839506172839	:Santa_Claus:
45	6.172839506172839	:pensive_face:
46	6.172839506172839	:smiling_face_with_sunglasses:
47	6.172839506172839	:disappointed_face:
48	6.172839506172839	:books:
49	6.172839506172839	:people_with_bunny_ears:
50	6.172839506172839	:clinking_beer_mugs:
51	6.172839506172839	:party_popper:
52	3.0864197530864197	:grimacing_face:
53	3.0864197530864197	:hundred_points:
54	3.0864197530864197	:palm_tree:
55	3.0864197530864197	:sun:
56	3.0864197530864197	:dashing_away:
57	3.0864197530864197	:droplet:
58	3.0864197530864197	:sweat_droplets:
59	3.0864197530864197	:frowning_face:
60	3.0864197530864197	:person_gesturing_NO:
61	3.0864197530864197	:umbrella_with_rain_drops:
62	3.0864197530864197	:violin:
63	3.0864197530864197	:face_with_tongue:
64	3.0864197530864197	:kitchen_knife:
65	3.0864197530864197	:fire:
66	3.0864197530864197	:person_wearing_turban:
67	3.0864197530864197	:folded_hands:
68	3.0864197530864197	:zzz:
69	3.0864197530864197	:anxious_face_with_sweat:
70	3.0864197530864197	:broken_heart:
71	3.0864197530864197	:pizza:
72	3.0864197530864197	:eggplant:
73	3.0864197530864197	:grinning_squinting_face:
74	3.0864197530864197	:laptop_computer:
75	3.0864197530864197	:floppy_disk:
76	3.0864197530864197	:face_savoring_food:
77	3.0864197530864197	:angry_face:
78	3.0864197530864197	:frog_face:
79	3.0864197530864197	:Christmas_tree:
80	3.0864197530864197	:kiss_mark:
81	3.0864197530864197	:mouse:
82	3.0864197530864197	:person_gesturing_OK:
83	3.0864197530864197	:musical_notes:
84	3.0864197530864197	:cocktail_glass:
85	3.0864197530864197	:open_book:
86	3.0864197530864197	:sparkling_heart:
87	3.0864197530864197	:smiling_face_with_halo:
88	3.0864197530864197	:astonished_face:
89	3.0864197530864197	:raising_hands:
90	3.0864197530864197	:clapping_hands:
91	3.0864197530864197	:two_hearts:
92	3.0864197530864197	:worried_face:
93	3.0864197530864197	:sleepy_face:
94	3.0864197530864197	:winking_face:
95	3.0864197530864197	:hatching_chick:
96	3.0864197530864197	:person_running:
97	3.0864197530864197	:open_hands:
98	3.0864197530864197	:beating_heart:
99	3.0864197530864197	:green_heart:
100	3.0864197530864197	:french_fries:
101	3.0864197530864197	:raised_hand:
102	3.0864197530864197	:fire_engine:
103	3.0864197530864197	:ambulance:
104	3.0864197530864197	:nail_polish:
