Position	Frequency	emoji
1	29	:face_with_tears_of_joy: :face_with_tears_of_joy:
2	21	:person_raising_hand: :person_raising_hand:
23	8	:pouting_face: :pouting_face:
26	7	:weary_face: :weary_face:
45	6	:face_blowing_a_kiss: :face_blowing_a_kiss:
64	5	:tropical_drink: :tropical_drink:
65	5	:smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:
74	4	:loudly_crying_face: :loudly_crying_face:
86	4	:OK_hand: :OK_hand:
147	3	:grinning_squinting_face: :grinning_squinting_face:
174	3	:Santa_Claus: :wrapped_gift:
185	3	:flushed_face: :flushed_face:
223	3	:weary_cat_face: :face_screaming_in_fear:
253	3	:oncoming_fist: :oncoming_fist:
263	3	:face_with_medical_mask: :face_with_medical_mask:
270	3	:see-no-evil_monkey: :see-no-evil_monkey:
306	2	:expressionless_face: :expressionless_face:
316	2	:smiling_face_with_heart-eyes: :face_blowing_a_kiss:
351	2	:droplet: :sweat_droplets:
418	2	:clapping_hands: :clapping_hands:
476	2	:smiling_face_with_heart-eyes: :red_heart:
539	2	:sleeping_face: :zzz:
578	2	:face_screaming_in_fear: :weary_cat_face:
579	2	:face_with_tears_of_joy: :Santa_Claus:
580	2	:Santa_Claus: :face_with_tears_of_joy:
680	2	:face_with_tears_of_joy: :loudly_crying_face:
688	2	:skull: :skull:
697	2	:frog_face: :hot_beverage:
768	2	:grinning_face_with_big_eyes: :thumbs_up:
788	2	:speak-no-evil_monkey: :face_with_tears_of_joy:
789	2	:squinting_face_with_tongue: :squinting_face_with_tongue:
850	2	:purple_heart: :two_hearts:
852	2	:fire: :fire:
872	2	:grinning_face_with_sweat: :grinning_face_with_sweat:
873	2	:purple_heart: :purple_heart:
1117	1	:red_heart: :red_heart:
1483	1	:flushed_face: :hundred_points:
2260	1	:astonished_face: :face_with_tears_of_joy:
2286	1	:globe_showing_Asia-Australia: :airplane:
2334	1	:face_blowing_a_kiss: :flushed_face:
2398	1	:sun: :musical_notes:
2706	1	:palm_tree: :sun:
2763	1	:grinning_face: :pistol:
2995	1	:grinning_squinting_face: :Santa_Claus:
2996	1	:Santa_Claus: :party_popper:
2997	1	:party_popper: :musical_notes:
3002	1	:wine_glass: :wine_glass:
3131	1	:dashing_away: :droplet:
3132	1	:sweat_droplets: :thumbs_down:
3298	1	:tired_face: :face_with_medical_mask:
3883	1	:nail_polish: :person_gesturing_NO:
3884	1	:person_gesturing_NO: :person_tipping_hand:
3930	1	:confused_face: :wrapped_gift:
4312	1	:pouting_face: :loudly_crying_face:
4744	1	:person_gesturing_NO: :pistol:
5229	1	:hundred_points: :basketball:
5672	1	:unamused_face: :unamused_face:
5987	1	:smiling_face_with_heart-eyes: :face_with_tears_of_joy:
6035	1	:expressionless_face: :thumbs_down:
6075	1	:grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes:
6151	1	:red_heart: :sparkles:
6152	1	:sparkles: :kiss_mark:
6153	1	:kiss_mark: :princess:
6154	1	:princess: :woman_dancing:
6202	1	:grinning_face_with_smiling_eyes: :unamused_face:
6398	1	:umbrella_with_rain_drops: :violin:
6788	1	:red_heart: :person_tipping_hand:
6988	1	:face_with_tears_of_joy: :kiss_mark:
6989	1	:kiss_mark: :red_heart:
7187	1	:loudly_crying_face: :face_blowing_a_kiss:
7377	1	:cat_face: :dog_face:
7716	1	:loudly_crying_face: :kitchen_knife:
7717	1	:kitchen_knife: :fire:
7750	1	:sweat_droplets: :droplet:
7987	1	:thumbs_up: :OK_hand:
8493	1	:grinning_face_with_smiling_eyes: :see-no-evil_monkey:
8625	1	:pouting_face: :person_gesturing_NO:
8676	1	:person_wearing_turban: :face_with_tears_of_joy:
8776	1	:smiling_face: :beaming_face_with_smiling_eyes:
9003	1	:folded_hands: :loudly_crying_face:
9004	1	:loudly_crying_face: :hot_beverage:
9306	1	:zzz: :confused_face:
9389	1	:grinning_face_with_smiling_eyes: :winking_face_with_tongue:
9390	1	:winking_face_with_tongue: :face_with_tears_of_joy:
9391	1	:face_with_tears_of_joy: :persevering_face:
9392	1	:persevering_face: :anxious_face_with_sweat:
9393	1	:anxious_face_with_sweat: :tired_face:
9394	1	:tired_face: :confounded_face:
9770	1	:unamused_face: :oncoming_fist:
9934	1	:persevering_face: :confounded_face:
